buying maint doors persons lug_boot safety class mlp
vhigh vhigh 2 2 small low unacc unacc
vhigh vhigh 2 2 small med unacc unacc
vhigh vhigh 2 2 small high unacc unacc
vhigh vhigh 2 2 med low unacc unacc
vhigh vhigh 2 2 med med unacc unacc
vhigh vhigh 2 2 med high unacc unacc
vhigh vhigh 2 2 big low unacc unacc
vhigh vhigh 2 2 big med unacc unacc
vhigh vhigh 2 2 big high unacc unacc
vhigh vhigh 2 4 small low unacc unacc
vhigh vhigh 2 4 small med unacc unacc
vhigh vhigh 2 4 small high unacc unacc
vhigh vhigh 2 4 med low unacc unacc
vhigh vhigh 2 4 med med unacc unacc
vhigh vhigh 2 4 med high unacc unacc
vhigh vhigh 2 4 big low unacc unacc
vhigh vhigh 2 4 big med unacc unacc
vhigh vhigh 2 4 big high unacc unacc
vhigh vhigh 2 more small low unacc unacc
vhigh vhigh 2 more small med unacc unacc
vhigh vhigh 2 more small high unacc unacc
vhigh vhigh 2 more med low unacc unacc
vhigh vhigh 2 more med med unacc unacc
vhigh vhigh 2 more med high unacc unacc
vhigh vhigh 2 more big low unacc unacc
vhigh vhigh 2 more big med unacc unacc
vhigh vhigh 2 more big high unacc unacc
vhigh vhigh 3 2 small low unacc unacc
vhigh vhigh 3 2 small med unacc unacc
vhigh vhigh 3 2 small high unacc unacc
vhigh vhigh 3 2 med low unacc unacc
vhigh vhigh 3 2 med med unacc unacc
vhigh vhigh 3 2 med high unacc unacc
vhigh vhigh 3 2 big low unacc unacc
vhigh vhigh 3 2 big med unacc unacc
vhigh vhigh 3 2 big high unacc unacc
vhigh vhigh 3 4 small low unacc unacc
vhigh vhigh 3 4 small med unacc unacc
vhigh vhigh 3 4 small high unacc unacc
vhigh vhigh 3 4 med low unacc unacc
vhigh vhigh 3 4 med med unacc unacc
vhigh vhigh 3 4 med high unacc unacc
vhigh vhigh 3 4 big low unacc unacc
vhigh vhigh 3 4 big med unacc unacc
vhigh vhigh 3 4 big high unacc unacc
vhigh vhigh 3 more small low unacc unacc
vhigh vhigh 3 more small med unacc unacc
vhigh vhigh 3 more small high unacc unacc
vhigh vhigh 3 more med low unacc unacc
vhigh vhigh 3 more med med unacc unacc
vhigh vhigh 3 more med high unacc unacc
vhigh vhigh 3 more big low unacc unacc
vhigh vhigh 3 more big med unacc unacc
vhigh vhigh 3 more big high unacc unacc
vhigh vhigh 4 2 small low unacc unacc
vhigh vhigh 4 2 small med unacc unacc
vhigh vhigh 4 2 small high unacc unacc
vhigh vhigh 4 2 med low unacc unacc
vhigh vhigh 4 2 med med unacc unacc
vhigh vhigh 4 2 med high unacc unacc
vhigh vhigh 4 2 big low unacc unacc
vhigh vhigh 4 2 big med unacc unacc
vhigh vhigh 4 2 big high unacc unacc
vhigh vhigh 4 4 small low unacc unacc
vhigh vhigh 4 4 small med unacc unacc
vhigh vhigh 4 4 small high unacc unacc
vhigh vhigh 4 4 med low unacc unacc
vhigh vhigh 4 4 med med unacc unacc
vhigh vhigh 4 4 med high unacc unacc
vhigh vhigh 4 4 big low unacc unacc
vhigh vhigh 4 4 big med unacc unacc
vhigh vhigh 4 4 big high unacc unacc
vhigh vhigh 4 more small low unacc unacc
vhigh vhigh 4 more small med unacc unacc
vhigh vhigh 4 more small high unacc unacc
vhigh vhigh 4 more med low unacc unacc
vhigh vhigh 4 more med med unacc unacc
vhigh vhigh 4 more med high unacc unacc
vhigh vhigh 4 more big low unacc unacc
vhigh vhigh 4 more big med unacc unacc
vhigh vhigh 4 more big high unacc unacc
vhigh vhigh 5more 2 small low unacc unacc
vhigh vhigh 5more 2 small med unacc unacc
vhigh vhigh 5more 2 small high unacc unacc
vhigh vhigh 5more 2 med low unacc unacc
vhigh vhigh 5more 2 med med unacc unacc
vhigh vhigh 5more 2 med high unacc unacc
vhigh vhigh 5more 2 big low unacc unacc
vhigh vhigh 5more 2 big med unacc unacc
vhigh vhigh 5more 2 big high unacc unacc
vhigh vhigh 5more 4 small low unacc unacc
vhigh vhigh 5more 4 small med unacc unacc
vhigh vhigh 5more 4 small high unacc unacc
vhigh vhigh 5more 4 med low unacc unacc
vhigh vhigh 5more 4 med med unacc unacc
vhigh vhigh 5more 4 med high unacc unacc
vhigh vhigh 5more 4 big low unacc unacc
vhigh vhigh 5more 4 big med unacc unacc
vhigh vhigh 5more 4 big high unacc unacc
vhigh vhigh 5more more small low unacc unacc
vhigh vhigh 5more more small med unacc unacc
vhigh vhigh 5more more small high unacc unacc
vhigh vhigh 5more more med low unacc unacc
vhigh vhigh 5more more med med unacc unacc
